client_id,round_number,hierarchy,num_samples,set,accuracy,loss
ALLS_WELL_THAT_ENDS_WELL_STEWARD,0,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,M,A,C,B,E,T,H",1706,test,0.0,4.383584976196289
AS_YOU_LIKE_IT_DUKE_SENIOR,0,"T,H,E, ,F,I,R,S,T, ,P,A,R,T, ,O,F, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",5091,test,0.0,4.383004188537598
KING_HENRY_THE_EIGHTH_LOVELL,0,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,J,U,L,I,U,S, ,C,A,E,S,A,R",2510,test,0.0,4.38351583480835
KING_HENRY_THE_EIGHTH_OLD_LADY,0,"T,H,E, ,F,I,R,S,T, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,F,O,U,R,T,H",2470,test,0.0,4.383033275604248
KING_HENRY_THE_EIGHTH_THIRD_GENTLEMAN,0,"M,E,A,S,U,R,E, ,F,O,R, ,M,E,A,S,U,R,E",2110,test,0.0,4.383085250854492
KING_RICHARD_III_RATCLIFF,0,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,A,N,T,O,N,Y, ,A,N,D, ,C,L,E,O,P,A,T,R,A",1450,test,0.0,4.38382625579834
MEASURE_FOR_MEASURE_LUCIO,0,"T,H,E, ,W,I,N,T,E,R,',S, ,T,A,L,E",12244,test,0.0008665511265164644,4.383337497711182
MUCH_ADO_ABOUT_NOTHING_ANT,0,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,C,O,R,I,O,L,A,N,U,S",1834,test,0.0,4.382572174072266
SECOND_PART_OF_KING_HENRY_IV_DAVY,0,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,O,T,H,E,L,L,O,,, ,M,O,O,R, ,O,F, ,V,E,N,I,C,E",1426,test,0.0,4.383768558502197
THE_FIRST_PART_OF_HENRY_THE_SIXTH_BASTARD,0,"T,H,E, ,H,I,S,T,O,R,Y, ,O,F, ,T,R,O,I,L,U,S, ,A,N,D, ,C,R,E,S,S,I,D,A",1216,test,0.0,4.382783889770508
