client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations
KING_RICHARD_III_CLARENCE,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,A,N,T,O,N,Y, ,A,N,D, ,C,L,E,O,P,A,T,R,A",6480,train,3271488,3271488,14326250200
THE_TAMING_OF_THE_SHREW_CURTIS,1,"A,L,L,S, ,W,E,L,L, ,T,H,A,T, ,E,N,D,S, ,W,E,L,L",744,train,3271488,3271488,1796851720
KING_RICHARD_III_CATESBY,1,"T,H,E, ,S,E,C,O,N,D, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",2178,train,3271488,3271488,4929201340
THE_TRAGEDY_OF_JULIUS_CAESAR_MARULLUS,2,"A,L,L,S, ,W,E,L,L, ,T,H,A,T, ,E,N,D,S, ,W,E,L,L",1135,train,3271488,3271488,2646714020
AS_YOU_LIKE_IT_OLIVER,2,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,J,U,L,I,U,S, ,C,A,E,S,A,R",6097,train,3271488,3271488,13476387900
THE_TAMING_OF_THE_SHREW_CURTIS,2,"A,L,L,S, ,W,E,L,L, ,T,H,A,T, ,E,N,D,S, ,W,E,L,L",744,train,3271488,3271488,1796851720
THE_MERCHANT_OF_VENICE_DUKE_OF_VENICE,3,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,C,O,R,I,O,L,A,N,U,S",2153,train,3271488,3271488,4856356000
ALLS_WELL_THAT_ENDS_WELL_COUNTESS,3,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,M,A,C,B,E,T,H",11419,train,3271488,3271488,25107360520
THE_TAMING_OF_THE_SHREW_GRUMIO,3,"A,L,L,S, ,W,E,L,L, ,T,H,A,T, ,E,N,D,S, ,W,E,L,L",7274,train,3271488,3271488,16050256580
THE_MERCHANT_OF_VENICE_DUKE_OF_VENICE,4,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,C,O,R,I,O,L,A,N,U,S",2153,train,3271488,3271488,4856356000
SECOND_PART_OF_KING_HENRY_IV_MORTON,4,"T,H,E, ,T,A,M,I,N,G, ,O,F, ,T,H,E, ,S,H,R,E,W",3312,train,3271488,3271488,7405942900
CYMBELINE_SECOND_LORD,4,"K,I,N,G, ,R,I,C,H,A,R,D, ,T,H,E, ,S,E,C,O,N,D",1627,train,3271488,3271488,3715112340
THE_MERCHANT_OF_VENICE_DUKE_OF_VENICE,5,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,C,O,R,I,O,L,A,N,U,S",2153,train,3271488,3271488,4856356000
MUCH_ADO_ABOUT_NOTHING_PEDRO,5,"K,I,N,G, ,J,O,H,N",13192,train,3271488,3271488,28992445320
SECOND_PART_OF_KING_HENRY_IV_MORTON,5,"T,H,E, ,T,A,M,I,N,G, ,O,F, ,T,H,E, ,S,H,R,E,W",3312,train,3271488,3271488,7405942900
KING_RICHARD_III_CATESBY,6,"T,H,E, ,S,E,C,O,N,D, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",2178,train,3271488,3271488,4929201340
SECOND_PART_OF_KING_HENRY_IV_MORTON,6,"T,H,E, ,T,A,M,I,N,G, ,O,F, ,T,H,E, ,S,H,R,E,W",3312,train,3271488,3271488,7405942900
THE_WINTER_S_TALE_PAULINA,6,"M,U,C,H, ,A,D,O, ,A,B,O,U,T, ,N,O,T,H,I,N,G",12642,train,3271488,3271488,27778356320
KING_HENRY_THE_EIGHTH_QUEEN_KATHARINE,7,"A, ,M,I,D,S,U,M,M,E,R, ,N,I,G,H,T,',S, ,D,R,E,A,M",11059,train,3271488,3271488,24330343560
THE_TRAGEDY_OF_JULIUS_CAESAR_PORTIA,7,"K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,E,I,G,H,T,H",3573,train,3271488,3271488,7964423840
THE_SECOND_PART_OF_KING_HENRY_THE_SIXTH_YOUNG_CLIFFORD,7,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,J,U,L,I,U,S, ,C,A,E,S,A,R",1778,train,3271488,3271488,4055057260
ALLS_WELL_THAT_ENDS_WELL_PAROLLES,8,"T,H,E, ,T,A,M,I,N,G, ,O,F, ,T,H,E, ,S,H,R,E,W",15816,train,3271488,3271488,34722945400
THE_TRAGEDY_OF_JULIUS_CAESAR_LUCILIUS,8,"T,H,E, ,M,E,R,C,H,A,N,T, ,O,F, ,V,E,N,I,C,E",902,train,3271488,3271488,2136796640
ALLS_WELL_THAT_ENDS_WELL_HELENA,8,"K,I,N,G, ,R,I,C,H,A,R,D, ,I,I,I",18616,train,3271488,3271488,40841953960
THE_TRAGEDY_OF_JULIUS_CAESAR_MARULLUS,9,"A,L,L,S, ,W,E,L,L, ,T,H,A,T, ,E,N,D,S, ,W,E,L,L",1135,train,3271488,3271488,2646714020
ALLS_WELL_THAT_ENDS_WELL_COUNTESS,9,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,M,A,C,B,E,T,H",11419,train,3271488,3271488,25107360520
KING_HENRY_THE_EIGHTH_QUEEN_KATHARINE,9,"A, ,M,I,D,S,U,M,M,E,R, ,N,I,G,H,T,',S, ,D,R,E,A,M",11059,train,3271488,3271488,24330343560
A_MIDSUMMER_NIGHT_S_DREAM_BOTTOM,10,"S,E,C,O,N,D, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,I,V",8626,train,3271488,3271488,19012633740
THE_FIRST_PART_OF_HENRY_THE_SIXTH_CHARLES,10,"K,I,N,G, ,R,I,C,H,A,R,D, ,I,I,I",6037,train,3271488,3271488,13354979000
KING_JOHN_PRINCE_HENRY,10,"C,Y,M,B,E,L,I,N,E",1054,train,3271488,3271488,2452459780
